start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695718200,1695718440,2023-09-26 08:50:00+00:00,2023-09-26 08:54:00+00:00,26274.53,26274.54,26273.08,26277.99,3.816266
1695718500,1695718740,2023-09-26 08:55:00+00:00,2023-09-26 08:59:00+00:00,26274.55,26263.37,26263.3,26277.27,13.306236
1695718800,1695719040,2023-09-26 09:00:00+00:00,2023-09-26 09:04:00+00:00,26263.36,26244.22,26244.22,26270.7,23.303063
1695719100,1695719340,2023-09-26 09:05:00+00:00,2023-09-26 09:09:00+00:00,26245.4,26246.74,26244.54,26253.58,7.201974
1695719400,1695719640,2023-09-26 09:10:00+00:00,2023-09-26 09:14:00+00:00,26246.74,26224.27,26224.27,26249.15,21.854743
1695719700,1695719940,2023-09-26 09:15:00+00:00,2023-09-26 09:19:00+00:00,26223.91,26222.88,26218.19,26246.85,15.659059
1695720000,1695720240,2023-09-26 09:20:00+00:00,2023-09-26 09:24:00+00:00,26222.88,26243.43,26219.84,26244.73,8.092472
1695720300,1695720540,2023-09-26 09:25:00+00:00,2023-09-26 09:29:00+00:00,26243.43,26241.52,26234.55,26250.13,8.936465
1695720600,1695720840,2023-09-26 09:30:00+00:00,2023-09-26 09:34:00+00:00,26241.52,26247.53,26235.53,26248.63,7.87269
1695720900,1695721140,2023-09-26 09:35:00+00:00,2023-09-26 09:39:00+00:00,26248.53,26267.79,26248.52,26284.59,24.74362
1695721200,1695721440,2023-09-26 09:40:00+00:00,2023-09-26 09:44:00+00:00,26267.71,26288.37,26267.08,26303.85,17.560114
1695721500,1695721740,2023-09-26 09:45:00+00:00,2023-09-26 09:49:00+00:00,26288.36,26291.09,26276.48,26324.54,18.930079
1695721800,1695722040,2023-09-26 09:50:00+00:00,2023-09-26 09:54:00+00:00,26291.09,26257.13,26257.12,26295.0,9.213201
1695722100,1695722340,2023-09-26 09:55:00+00:00,2023-09-26 09:59:00+00:00,26257.1,26264.01,26253.28,26275.14,11.159832
